epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.28638,1.5892,5.0995,0.01385,0.24662,0.22716,0.15023,0.07818,1.60975,3.7519,0.01729,0.00058,0.00058,0.00058
2,12.9367,1.5441,2.43622,0.01321,0.37131,0.41212,0.35028,0.15937,1.83461,2.47162,0.02024,0.00117416,0.00117416,0.00117416
3,18.7524,1.67655,2.07215,0.01393,0.36458,0.36667,0.31142,0.11368,2.16471,2.38365,0.02534,0.00176238,0.00176238,0.00176238
4,24.3651,1.70725,1.87221,0.0139,0.38849,0.42121,0.34507,0.12882,2.05477,2.32175,0.02408,0.0019703,0.0019703,0.0019703
5,30.1129,1.74642,1.88498,0.01691,0.50487,0.38315,0.37595,0.15643,2.00824,2.09657,0.02309,0.0019604,0.0019604,0.0019604
6,35.8089,1.68674,1.73475,0.01426,0.47715,0.46667,0.41907,0.19421,1.86625,2.17438,0.02218,0.0019505,0.0019505,0.0019505
7,41.5341,1.61964,1.60133,0.01316,0.5173,0.51212,0.48059,0.22418,1.82591,2.19485,0.02036,0.0019406,0.0019406,0.0019406
8,47.4313,1.64222,1.57225,0.01369,0.60723,0.44242,0.50921,0.22723,1.88672,1.77918,0.02208,0.0019307,0.0019307,0.0019307
9,53.275,1.64366,1.57701,0.01456,0.56844,0.45152,0.47766,0.22393,1.84044,2.13749,0.02131,0.0019208,0.0019208,0.0019208
10,59.0622,1.68831,1.51029,0.01357,0.61726,0.48485,0.53386,0.26389,1.75715,1.71309,0.0195,0.0019109,0.0019109,0.0019109
11,64.8543,1.59674,1.47347,0.01368,0.59251,0.52727,0.53382,0.26474,1.73947,1.80269,0.01886,0.001901,0.001901,0.001901
12,70.6414,1.58849,1.53391,0.01334,0.60051,0.52121,0.53662,0.2629,1.81669,1.75789,0.02043,0.0018911,0.0018911,0.0018911
13,76.4858,1.58764,1.43529,0.01299,0.59688,0.48907,0.52016,0.26066,1.7846,1.7897,0.01936,0.0018812,0.0018812,0.0018812
14,82.2566,1.62913,1.53946,0.01518,0.6062,0.47114,0.52479,0.25259,1.80736,1.69016,0.01931,0.0018713,0.0018713,0.0018713
15,87.8814,1.52373,1.40017,0.01294,0.65698,0.52424,0.56122,0.27809,1.83897,1.65768,0.02056,0.0018614,0.0018614,0.0018614
16,93.7317,1.61031,1.41337,0.01314,0.62638,0.50803,0.55225,0.28447,1.77303,1.73868,0.01952,0.0018515,0.0018515,0.0018515
17,99.6512,1.52363,1.25678,0.01198,0.70632,0.53931,0.61419,0.32065,1.65743,1.61197,0.01743,0.0018416,0.0018416,0.0018416
18,105.634,1.49806,1.25995,0.01251,0.65596,0.58354,0.63087,0.34433,1.58218,1.54968,0.01672,0.0018317,0.0018317,0.0018317
19,111.364,1.48199,1.3011,0.01243,0.68002,0.59091,0.63981,0.33769,1.71154,1.4757,0.01771,0.0018218,0.0018218,0.0018218
20,117.244,1.47775,1.23127,0.01259,0.64798,0.51876,0.54813,0.29601,1.7543,1.60574,0.01962,0.0018119,0.0018119,0.0018119
21,123.117,1.5156,1.20683,0.01223,0.71487,0.60303,0.64785,0.3475,1.68546,1.43145,0.01857,0.001802,0.001802,0.001802
22,128.935,1.51269,1.23665,0.01238,0.68517,0.56061,0.61582,0.32065,1.77676,1.51839,0.01867,0.0017921,0.0017921,0.0017921
23,134.593,1.54565,1.24442,0.01303,0.71205,0.54703,0.60779,0.33404,1.60842,1.49062,0.01743,0.0017822,0.0017822,0.0017822
24,140.35,1.43988,1.14768,0.01171,0.6757,0.50909,0.59382,0.32135,1.64829,1.64044,0.0177,0.0017723,0.0017723,0.0017723
25,146.173,1.49646,1.2061,0.01231,0.66438,0.64848,0.68216,0.36171,1.67694,1.52422,0.01765,0.0017624,0.0017624,0.0017624
26,152.222,1.41381,1.15996,0.01088,0.73794,0.60606,0.67603,0.37421,1.62762,1.31084,0.01719,0.0017525,0.0017525,0.0017525
27,158.082,1.37643,1.12758,0.01036,0.6741,0.64242,0.65609,0.35101,1.61891,1.38976,0.01723,0.0017426,0.0017426,0.0017426
28,163.851,1.41475,1.13469,0.01135,0.66861,0.62121,0.65664,0.34126,1.77525,1.52619,0.01904,0.0017327,0.0017327,0.0017327
29,169.653,1.40952,1.13073,0.01082,0.65563,0.63463,0.66301,0.37314,1.60558,1.40395,0.01708,0.0017228,0.0017228,0.0017228
30,175.384,1.39806,1.10396,0.01096,0.71007,0.59091,0.67489,0.37994,1.60865,1.38678,0.01682,0.0017129,0.0017129,0.0017129
31,181.119,1.4153,1.06715,0.01122,0.66064,0.65482,0.66951,0.37869,1.59581,1.46006,0.01638,0.001703,0.001703,0.001703
32,186.891,1.34452,1.04752,0.01039,0.66759,0.59033,0.64331,0.35328,1.57787,1.4489,0.01686,0.0016931,0.0016931,0.0016931
33,192.745,1.39164,1.02955,0.01083,0.61896,0.61515,0.6521,0.36661,1.60114,1.36712,0.01711,0.0016832,0.0016832,0.0016832
34,198.547,1.36984,1.04473,0.01128,0.64499,0.63636,0.67587,0.38534,1.594,1.35492,0.01643,0.0016733,0.0016733,0.0016733
35,204.305,1.44859,1.15454,0.01224,0.67537,0.5697,0.61159,0.3328,1.68474,1.47106,0.01791,0.0016634,0.0016634,0.0016634
36,210.261,1.39219,1.04442,0.01087,0.65111,0.63338,0.64895,0.34661,1.67239,1.38718,0.01703,0.0016535,0.0016535,0.0016535
37,215.891,1.45402,1.06548,0.01443,0.7346,0.62906,0.68198,0.39655,1.57917,1.28334,0.01637,0.0016436,0.0016436,0.0016436
38,221.743,1.35869,1.00758,0.01055,0.69676,0.64755,0.68323,0.39944,1.49975,1.31726,0.01561,0.0016337,0.0016337,0.0016337
39,227.5,1.28562,0.97254,0.00998,0.78227,0.63939,0.71724,0.41458,1.51044,1.26961,0.0153,0.0016238,0.0016238,0.0016238
40,233.517,1.36334,0.93859,0.01127,0.78353,0.58132,0.68761,0.4031,1.53119,1.35473,0.01607,0.0016139,0.0016139,0.0016139
41,239.236,1.32003,0.96827,0.0107,0.73701,0.63333,0.68438,0.39572,1.55812,1.44951,0.0165,0.001604,0.001604,0.001604
42,244.979,1.28593,0.93975,0.01001,0.70721,0.55629,0.64758,0.38279,1.57616,1.44521,0.01547,0.0015941,0.0015941,0.0015941
43,250.729,1.34358,0.98575,0.01107,0.72644,0.62121,0.69569,0.42993,1.52647,1.31097,0.01594,0.0015842,0.0015842,0.0015842
44,256.614,1.37547,0.9619,0.01075,0.71812,0.58672,0.64946,0.37296,1.6268,1.4585,0.01814,0.0015743,0.0015743,0.0015743
45,262.391,1.34542,0.91793,0.01072,0.76829,0.58485,0.67528,0.38294,1.60807,1.38496,0.0169,0.0015644,0.0015644,0.0015644
46,268.043,1.34055,0.95568,0.01034,0.67262,0.61515,0.6418,0.35789,1.69577,1.49328,0.01847,0.0015545,0.0015545,0.0015545
47,273.673,1.30328,0.92487,0.01061,0.7506,0.65666,0.73925,0.42553,1.56679,1.23461,0.01618,0.0015446,0.0015446,0.0015446
48,279.444,1.2631,0.87533,0.00981,0.70156,0.64823,0.68942,0.40654,1.60525,1.28313,0.0161,0.0015347,0.0015347,0.0015347
49,285.182,1.29943,0.9753,0.0101,0.77009,0.59091,0.7011,0.40537,1.65152,1.48093,0.01636,0.0015248,0.0015248,0.0015248
50,290.813,1.29282,0.92869,0.01035,0.72499,0.6697,0.73282,0.42238,1.62371,1.32102,0.01694,0.0015149,0.0015149,0.0015149
51,296.599,1.25422,0.88701,0.00943,0.79237,0.63939,0.71398,0.42032,1.58703,1.4909,0.01629,0.001505,0.001505,0.001505
52,302.366,1.26622,0.81892,0.00977,0.81751,0.63802,0.73219,0.43462,1.49885,1.44922,0.01515,0.0014951,0.0014951,0.0014951
53,308.129,1.26194,0.92199,0.0097,0.83811,0.59615,0.72173,0.43188,1.50419,1.30877,0.01485,0.0014852,0.0014852,0.0014852
54,313.772,1.24179,0.86427,0.00963,0.81106,0.61212,0.72508,0.42805,1.61908,1.2864,0.01611,0.0014753,0.0014753,0.0014753
55,319.343,1.24754,0.88644,0.00879,0.78621,0.6303,0.70906,0.42177,1.49606,1.35545,0.01472,0.0014654,0.0014654,0.0014654
56,325.228,1.29206,0.83617,0.01002,0.76562,0.61371,0.71099,0.40201,1.5972,1.36683,0.0162,0.0014555,0.0014555,0.0014555
57,330.808,1.27029,0.87775,0.01028,0.71907,0.68485,0.74333,0.43491,1.54984,1.28534,0.01559,0.0014456,0.0014456,0.0014456
58,336.657,1.26765,0.84094,0.01115,0.80526,0.63906,0.72963,0.42116,1.61609,1.30058,0.01643,0.0014357,0.0014357,0.0014357
59,342.292,1.21921,0.80184,0.00974,0.75895,0.62424,0.69677,0.41317,1.6278,1.27391,0.01619,0.0014258,0.0014258,0.0014258
60,348.21,1.23139,0.87386,0.01009,0.66993,0.61818,0.6614,0.38762,1.6127,1.40888,0.01622,0.0014159,0.0014159,0.0014159
61,353.81,1.22637,0.79484,0.0096,0.73461,0.64848,0.72945,0.42311,1.61685,1.32619,0.01584,0.001406,0.001406,0.001406
62,359.487,1.21426,0.82135,0.00882,0.74506,0.64242,0.70503,0.40788,1.61794,1.32133,0.0161,0.0013961,0.0013961,0.0013961
