epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.00915,1.71246,2.47519,1.60377,0.32506,0.40606,0.27038,0.12291,1.90241,6.04305,1.72213,0.00058,0.00058,0.00058
2,12.2044,1.63063,1.82528,1.51954,0.3182,0.28788,0.21826,0.09749,2.10615,5.80276,2.24095,0.00117416,0.00117416,0.00117416
3,16.2379,1.701,1.80262,1.55291,0.04098,0.20606,0.02092,0.00756,2.39888,4.96533,2.55319,0.00176238,0.00176238,0.00176238
4,20.3225,1.69276,1.73032,1.55848,0.00775,0.39697,0.00486,0.00204,2.27965,inf,2.2768,0.0019703,0.0019703,0.0019703
5,24.4005,1.73262,1.75584,1.6032,0.22087,0.15758,0.0927,0.0386,2.21256,4.47122,2.26423,0.0019604,0.0019604,0.0019604
6,28.4046,1.63284,1.64719,1.52084,0.42766,0.41663,0.40748,0.1898,1.92055,2.77702,1.85985,0.0019505,0.0019505,0.0019505
7,32.5882,1.61792,1.54299,1.49444,0.31502,0.23939,0.20591,0.09828,2.12577,2.57519,1.97093,0.0019406,0.0019406,0.0019406
8,36.6459,1.54504,1.63298,1.45159,0.46514,0.40319,0.41831,0.20869,1.73045,2.86167,1.76633,0.0019307,0.0019307,0.0019307
9,40.7569,1.59212,1.52546,1.47881,0.32553,0.38182,0.33342,0.14922,1.89378,3.04486,1.82672,0.0019208,0.0019208,0.0019208
10,44.9113,1.55188,1.46554,1.44512,0.43568,0.45152,0.41101,0.1976,1.81298,1.94369,1.74112,0.0019109,0.0019109,0.0019109
11,48.8828,1.5197,1.41654,1.43292,0.64947,0.52727,0.5625,0.29229,1.72593,1.69199,1.59194,0.001901,0.001901,0.001901
12,52.9765,1.48395,1.38761,1.39608,0.68594,0.41212,0.50319,0.25844,1.77409,1.76479,1.65332,0.0018911,0.0018911,0.0018911
13,57.0034,1.49412,1.32732,1.37701,0.56667,0.44545,0.47767,0.23282,1.81089,2.13933,1.66269,0.0018812,0.0018812,0.0018812
14,61.0237,1.51527,1.44519,1.42935,0.69635,0.5,0.57035,0.2883,1.65978,1.6469,1.57687,0.0018713,0.0018713,0.0018713
15,65.0423,1.44251,1.34517,1.38692,0.62561,0.55758,0.57412,0.29326,1.65993,1.73022,1.61111,0.0018614,0.0018614,0.0018614
16,69.2135,1.46445,1.37087,1.38307,0.64816,0.52424,0.55159,0.28676,1.68278,1.60621,1.58115,0.0018515,0.0018515,0.0018515
17,73.1862,1.41232,1.31951,1.32768,0.6163,0.50134,0.53007,0.27934,1.7289,1.64551,1.63973,0.0018416,0.0018416,0.0018416
